"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"SEA","modelo_2","no_profunda",0.2,0.3,"NA",0.03,60,0.571111111111111,0.694545454545455,0.377142857142857,0.664347826086957,0.636666666666667
"SEA","modelo_2","profunda",0.4,0.5,"0.4",0.02,40,0.572222222222222,0.695454545454545,0.378571428571429,0.665217391304348,0.6375
"SEA","modelo_3","no_profunda",0.4,0.5,"NA",0.06,20,0.632222222222222,0.744545454545455,0.455714285714286,0.712173913043478,0.6825
"SEA","modelo_3","profunda",0.2,0.3,"0.6",0.02,10,0.652222222222222,0.760909090909091,0.481428571428571,0.727826086956522,0.6975
"SEA","modelo_4","no_profunda",0.2,0.5,"NA",0.05,60,0.565555555555556,0.69,0.37,0.66,0.6325
"SEA","modelo_4","profunda",0.4,0.6,"0.4",0.05,20,0.6,0.718181818181818,0.414285714285714,0.68695652173913,0.658333333333333
"KC","modelo_1","no_profunda",0.2,0.6,"NA",0.05,20,0.641346153846154,0.723972602739726,0.446774193548387,0.739160839160839,0.755
"KC","modelo_1","profunda",0.3,0.3,"0.3",0.03,20,0.644230769230769,0.726027397260274,0.451612903225806,0.741258741258741,0.757142857142857
"KC","modelo_2","no_profunda",0.3,0.3,"NA",0.01,60,0.693269230769231,0.760958904109589,0.533870967741935,0.776923076923077,0.793571428571429
"KC","modelo_2","profunda",0.4,0.3,"0.5",0.03,40,0.706730769230769,0.770547945205479,0.556451612903226,0.786713286713287,0.803571428571429
"KC","modelo_3","no_profunda",0.4,0.2,"NA",0.01,20,0.782692307692308,0.824657534246575,0.683870967741935,0.841958041958042,0.86
"KC","modelo_3","profunda",0.4,0.4,"0.6",0.02,20,0.755769230769231,0.805479452054795,0.638709677419355,0.822377622377622,0.84
"KC","modelo_4","no_profunda",0.5,0.6,"NA",0.02,20,0.746153846153846,0.798630136986301,0.62258064516129,0.815384615384615,0.832857142857143
"KC","modelo_4","profunda",0.3,0.2,"0.5",0.03,20,0.744230769230769,0.797260273972603,0.619354838709677,0.813986013986014,0.831428571428571
"BAL","modelo_1","no_profunda",0.4,0.6,"NA",0.01,40,0.585148514851485,0.634821428571429,0.523333333333333,0.629203539823009,0.623684210526316
"BAL","modelo_1","profunda",0.6,0.5,"0.2",0.02,60,0.595049504950495,0.64375,0.534444444444444,0.638053097345133,0.632456140350877
"BAL","modelo_2","no_profunda",0.2,0.2,"NA",0.06,20,0.651485148514852,0.694642857142857,0.597777777777778,0.688495575221239,0.682456140350877
"BAL","modelo_2","profunda",0.2,0.3,"0.3",0.05,20,0.63960396039604,0.683928571428571,0.584444444444444,0.67787610619469,0.671929824561403
"BAL","modelo_3","no_profunda",0.2,0.3,"NA",0.02,10,0.78019801980198,0.810714285714286,0.742222222222222,0.80353982300885,0.796491228070175
